model,accuracy,precision,recall,f1_score,roc_auc
Random Forest (Baseline + GridSearchCV),0.9993804213135068,0.9996949359365467,0.9990853658536586,0.9993900579444953,0.9998407453769123
Random Forest (Base),0.9993804213135068,0.9996949359365467,0.9990853658536586,0.9993900579444953,0.9998407453769123
Logistic Regression (Base),0.9829615861214375,0.9728520286396182,0.9942073170731708,0.9834137515078407,0.9943055192910242
"SVM (RBF, Base)",0.9967472118959108,0.9939375568354046,0.9996951219512196,0.9968080255357957,0.9950632026786262
Decision Tree (Base),0.9995353159851301,0.9993904297470283,0.9996951219512196,0.9995427526291724,0.9995326995146526
Ensemble (Soft Voting),0.9992255266418835,0.9987816021931161,0.9996951219512196,0.9992381532835594,0.9998334498064754
Stacking (RF + SVM → LR),0.9996902106567535,0.9996951219512196,0.9996951219512196,0.9996951219512196,0.999837577563433
